                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.0365,                0.66795,                 1.0472,                0.82549,                 0.6875,                 0.7813,                0.41293,                 1.6266,                 1.2281,                 1.3993,              0.0013268,              0.0013268,              0.0013268
                     71,                 1.0331,                0.66893,                 1.0595,                0.84647,                   0.75,                0.81088,                0.44964,                 1.6016,                  1.007,                 1.3915,              0.0013169,              0.0013169,              0.0013169
                     72,                 1.0041,                0.70415,                 1.0709,                0.87298,                0.75172,                0.82575,                0.43056,                 1.5845,                 1.0194,                 1.3757,               0.001307,               0.001307,               0.001307
                     73,                 1.0641,                0.72023,                 1.0737,                0.83028,                0.79688,                0.81057,                0.42058,                 1.5437,                 1.0458,                 1.3533,              0.0012971,              0.0012971,              0.0012971
                     74,                 1.0539,                0.67704,                 1.0738,                0.83217,                0.77482,                0.82731,                0.42992,                 1.5713,                 1.2863,                 1.3907,              0.0012872,              0.0012872,              0.0012872
                     75,                0.98033,                0.62154,                 1.0108,                0.75931,                 0.8125,                0.82094,                0.42952,                 1.6146,                 1.0455,                 1.3855,              0.0012773,              0.0012773,              0.0012773
                     76,                 1.1558,                0.67529,                 1.1821,                0.75113,                0.76562,                 0.7858,                0.44734,                 1.6039,                0.99631,                 1.3849,              0.0012674,              0.0012674,              0.0012674
                     77,                 1.0782,                0.71867,                 1.0825,                0.77539,                0.80916,                0.78973,                0.41471,                 1.5914,                 1.0503,                 1.3676,              0.0012575,              0.0012575,              0.0012575
                     78,                 1.0011,                 0.6293,                 1.0333,                 0.8071,                0.76562,                0.76117,                0.38811,                 1.7552,                 1.0699,                 1.4446,              0.0012476,              0.0012476,              0.0012476
                     79,                 1.0142,                0.63317,                 1.0247,                0.79872,                   0.75,                0.75882,                0.44863,                 1.6277,                0.97126,                 1.3979,              0.0012377,              0.0012377,              0.0012377
                     80,                 1.0465,                0.63738,                 1.0647,                0.82445,                0.82812,                0.83857,                0.44799,                 1.5527,                0.93544,                  1.336,              0.0012278,              0.0012278,              0.0012278
                     81,                 1.0426,                0.63509,                 1.0529,                0.80274,                0.71875,                0.73646,                0.40401,                  1.638,                   1.01,                 1.3485,              0.0012179,              0.0012179,              0.0012179
                     82,                 1.0164,                0.63958,                 1.0452,                0.80465,                0.70803,                0.75611,                 0.4254,                 1.5955,                 1.0157,                 1.3403,               0.001208,               0.001208,               0.001208
                     83,                0.95593,                0.60188,                 1.0139,                0.85364,                0.82026,                0.84382,                0.45459,                 1.5812,                0.91829,                 1.3296,              0.0011981,              0.0011981,              0.0011981
                     84,                  1.074,                0.65149,                  1.049,                0.81453,                0.78125,                0.79208,                0.43695,                 1.5986,                  1.024,                 1.3431,              0.0011882,              0.0011882,              0.0011882
                     85,                 1.0073,                0.64907,                 1.0324,                0.84389,                0.79688,                0.83824,                 0.4471,                 1.5286,                 0.9271,                 1.3237,              0.0011783,              0.0011783,              0.0011783
                     86,                0.94578,                0.65248,                 1.0118,                0.84746,                0.78127,                0.84725,                0.44035,                 1.5566,                0.94182,                 1.3419,              0.0011684,              0.0011684,              0.0011684
                     87,                0.99519,                 0.5905,                 1.0472,                0.82174,                0.78125,                0.83503,                0.42264,                 1.6166,                0.93467,                 1.4028,              0.0011585,              0.0011585,              0.0011585
                     88,                 1.0471,                0.65264,                 1.0474,                0.80719,                0.71958,                0.78656,                0.40182,                 1.6557,                0.95025,                 1.4315,              0.0011486,              0.0011486,              0.0011486
                     89,                0.99784,                 0.6052,                 1.0383,                0.79485,                0.78125,                0.78509,                0.39386,                 1.6316,                0.97236,                 1.4317,              0.0011387,              0.0011387,              0.0011387
                     90,                0.98534,                0.60273,                  1.019,                0.80167,                0.82113,                0.80014,                0.40774,                  1.526,                  1.025,                 1.3585,              0.0011288,              0.0011288,              0.0011288
                     91,                0.93323,                0.58139,                 1.0139,                 0.7816,                0.78125,                0.81257,                0.41479,                 1.6428,                 1.1027,                 1.4362,              0.0011189,              0.0011189,              0.0011189
                     92,                0.97232,                0.60165,                 1.0238,                0.73156,                 0.8125,                0.76374,                 0.3715,                 1.6509,                 1.1182,                 1.3907,               0.001109,               0.001109,               0.001109
                     93,                0.97816,                0.59325,                  1.009,                  0.808,                0.84375,                 0.7851,                0.40087,                 1.5527,                0.96448,                 1.3304,              0.0010991,              0.0010991,              0.0010991
                     94,                0.98271,                0.60261,                 1.0193,                0.79096,                0.78125,                0.78355,                0.43249,                 1.5945,                0.94748,                 1.3337,              0.0010892,              0.0010892,              0.0010892
